Conv_ID,Summary
18,"Nope, earthquake's loud noises can't wake me up but if someone whispers or if its really quite that might wake up. I m in jersey so it ll take me at least 7 hours but for you I will lol Did anyone else in LA feel something just now that felt like an earthquake? I didn t feel anything but at the same time I ve been drinking so my whole world isn t balanced. No but I woke up from a dream here on the East Coast, in which there was an earthquake, about 3 hours ago. Figured it was that or a raging all star weekend party down the street. If not I ll go over."
19,"u make me laugh and ur a cutie so it's a win win for me. i'm in california atm and i was editing a video. i started freaking out and ran outside in my underwear because i was one hundred percent sure i felt an earthquake, turns out my table is just uneven. only you can pull that off tho If you ever want to be sure"
20,"Yes here in @Vallejo - Yes that s what woke me up out of my deep sleep and still in motion @QuakesToday. Woke me up. felt it in Mill Valley ! However to me that didn t feel like a 4.4 if they ll like it was more than that but I m glad that it was only a 4.4 compared to others @NASAEarth @Quakeprediction I felt a brief movement in Tracy, at first I didn t think there was one until now. Yes my dog and I both were looking at each other like is it going to stop? Anybody else, #BayArea?"
21,"Felt it in Alameda, strong ! #Earthquake felt in Burlingame, just woke us up at 2:40AM Breaking-I just felt an earthquake from my home in east bay. Same here in the Castro. Definitely felt it, too. Felt like a shake and not like a wave."
22,"Didn t feel it in Houston, but now I feel *really* bad for leaving the cat home since his brother-from-another-mother died. Didn t feel that one but felt the one we had yesterday in San Martin. Felt and heard it in San Jose! Man, haven t felt one in awhile. Yup same here . Though someone was going to knock down the door. Just felt an earthquake in San Jose...Bed started shaking and door kept rattling."
23,"perfectly normal for a building to sway during an earthquake, it would be worse if it didn t oh so that what it was i was so confused Wow just felt an earthquake in Korea, was super scary considering I'm 20 stories up. It s called damping, it allows for the vibrations from the ground to ripple upward through the building, if the building didn t sway there would be more structural damage."
24,"I was in a high rise and didn't feel a thing. omg i would have done the same....we have lost it!! Wasn't that strong (pictures stayed on the wall). I was happy my wall mounted bike didn't fall. Short but things were moving about. Interesting Bot, never thought about how many earthquakes there are daily."
25,"You can't tell a force of nature or a part of the earth to chill out, if the planet didn't have these quakes it would be a dead world. Felt it here in Santa Cruz, too. That was my thought too. But it didn't feel small! nah...we're a sanctuary state now ...this is a rebellion so the state rebels California, chill the fuck out plz. Jerry Brown...its your state..just democrats ."
26,It is long overdue for a 8.0+ We have been preparing for it my entire life. This one is thanks to fracking. Man made ones don't get much attention. There is the new Madrid fault. Is that fault common to give a jolt?
27,"Shook us up in Los Feliz, too. I felt it in Hollywood Hills. Prob an earthquake, Or.... maybe It's our unchecked rage over Trumpcare 3.0 rising to the surface in a quiet moment. I believe I have a power bar around here somewhere...should we buy Berkey's? Either that or I drank too much coffee this afternoon. There ya have it. Oh God."
28,Felt it in North San Jose... Not everyone in our building felt it. First one in a long time. We felt another one just a couple of minutes ago. My mom also felt it as I was speaking on phone with her. It was pretty quick here too. In West San Jose and didn't feel it... Sharp.
29,"I bought $twtr stock for an emotional reason and thats on me and not you Don't get emotional about stock, so says Gordon Gekko. You are just feeling the fallout of the $snap conference call and ER.. nothing to see here. Nope. No. This happened last time in our earthquake."
30,"Sure your sis already filled you in but it was crazy here. How big was it? Though, we can't guarantee that it's not... :) So glad that other people felt it too and that my room isn't possessed Hit near Lincoln, so that makes sense. Did you get any sleep? Anyone know?"
31,"ru sure it wasn't just the latest moto gp Ducati passing by? Like when you win the TT! imagine us fans have to go through in the hedges at the tt when you zip past at full throttle. come to Chile man. Strange feeling, unbelievable the power of nature! Only earthquake I've felt was in Caton! Just felt an earthquake in Tokyo!"
32,felt like it here in Makati @Kickstartph We felt an earthquake just now from the newsroom. Here at work. felt here in Manila it's all over the originated in malacanang the drug war Did you feel it too?
33,felt it here in Wichita. It's whiskey or nothing up in Oklahoma. I'm at my sister's house on Texanna Road south of Checotah. I felt it too.
34,I lived in California for more than 25 years and Wrigley Field just felt like there was an earthquake after that Javier Baez home run probably just a traffic jam on the 405.
35,"So surprised but I'm fine :) Can't believe the power of nature Have a wonderful day! Hope everyone is fine :(( By the way, pls find me on your kakao friends list Thank you so much for your warm heart :) Have a blessed day, dear Hope you and your family are safe. The earthquake is so horrible,hope everyone is safety! Please take care."
36,me to. they can be unnerving & make you stop for a second or two before it registers what it was. felt it in Lincoln. I was on the couch and all a sudden I felt like I was on a boat. Felt it in Papillion.
37,"yes felt it in the northland! felt it here in Waldo. Just felt it in Kansas City, Kansas. felt it too. We're looking into it!"
38,I've never felt one that strong and I'm north of where they happen I'm waiting to see what @USGSBigQuakes says it was. My husband in Lawrence has never felt one until today. it was huge here! Stronger than I ever felt in Wichita. Pretty sure I just felt an earthquake in Lawrence! If it's north of 4.5 I would not be surprised.
39,"yeah, i felt it too. i felt it here in daanbantayan too yes...just seconds long..where is the epicenter? Did you feel that, too?"
40,"But the furniture in the room was moving!!!!) yes, it wasn't tiny. (A tiny one I guess!! yes we did! I just felt an earthquake!!!!! They said it was a 5.2, felt pretty strong and scary. I'm in Bev hills by Mulholland."
41,I felt 2 as well! Felt it over here in Corona. felt it here in Beverly Hills felt it over here in north hollywood A smaller one right before. Felt like 2 of them!
42,"here at FAA.. we all felt it too, a few times Bewm still got it. I was wondering the same thing. sure felt like it in Pt Pleasant Reports so far say it is not. Felt it too. I felt it."
43,"Woke me up in Norman. yes, in Edmond, I thought my house was going to collapse, concerned about the damage Anyone else just feel an #earthquake? Hope there's no damage upon our return! just visiting OKC for the first time. Felt in Bartlesville! We felt it!"
44,OMG just felt an earthquake..: making me realize how high I live in this building... omg im glad you are safe though!! ghostlana yes I'm good thanks! there was and earthquake over here in California just a few hours ago.
45,Felt it here in Langley! felt our house shake in Colwood (Victoria) woke us up! here in #northvan too! That was so awesome! whole house shook for what felt like a minute in #Richmond #Earthquake. Any else experience what felt like an earthquake just now?
46,me too me too me too
47,"felt it here in Long Beach! Just felt an earthquake in Woodland Hills, CA did you? Felt it here in La Cañada. did not feel it in Oak Park, thank goodness felt it in Anaheim"
48,"You're the first to tweet it! Felt it here near Eagle Rock! I felt that! yes. Then got on twitter and boom! #fracking gov brown oil;& that fire thing is rocking and rolling inside it(CA earth), god made #hemp for reason yes.. Thats what i thought so too! btw love the quote in your bio!"
49,"felt in faridabad, all safe Praying there is no loss of life anywhere! yeah in pakistan and afganistan too,"
50,Last one made me nervous. Anyone out there feel it in Reno? Just felt a pretty good bump of an earthquake.
51,"We don't usually feel them all the way over here in White Rock Lake/Casa Linda, but def felt that one. Didn't feel it, but we usually don't unless it's a 3.0 or greater. felt it in NW Dallas. Very much so. felt it at Mockingbird and Lemmon! Felt it at my house big time! felt it in N Arlington"
52,I felt the quake strong at 71st and Lewis. felt it in Midtown next to TU. Just felt an earthquake in downtown Tulsa. Where are you and did you feel it? Felt in Bartlesville!
53,"Felt it in Lincoln, NE And in Wichita. Felt it near Tulsa as well. 143am-We just felt an earthquake here at the NWC in Norman."
54,"yes everything is good! all is good! be safe ! Be safe! are you okay, Austin?"
55,"hope you're okay there! are you okay.? What the heck!! ? you should move to Brazil, we don't have earthquakes here hope everything is okay"
56,"felt it here in Santa Rosa City, Laguna as well. also here in Sta Rosa, Laguna. Felt it too here in Sta. We felt it in Makati too. My cameraman who lives in Lipa, Batangas says they felt an earthquake just now. same here in Calamba Laguna, malakas sya & matagal din.."
57,"felt it at Harvey/Sedgwick County line and I-135, my first one. Everything was rattling this time and the bed shook hard. We may have just felt an earthquake at the NWS office in Wichita? Granted you and I live close by. I've never heard a quake shake my door like that. Will follow up on it shortly. Yeah, woke me up out of a deep sleep!"
58,Shiiiit I hope you're good now! hope you're all okayyyy me too I was scared omg hope you're okay!
59,"felt it in Thurston as well! I think I just felt an earthquake in Creswell, Oregon! Anybody confirm or was it just me? I felt it too! just a guess, but I'm going to say 3.8 yep felt it in Creswell too"
60,"Maybe you got poked in the rear and thought it was an earthquake? Either I just felt an earthquake in Vegas or someone in this hotel is laying some SERIOUS pipe.- It's embarrassing how unfunny u r Either I just felt an earthquake in Vegas or someone in this hotel is laying some SERIOUS pipe. Either I just felt an earthquake in Vegas or someone in this hotel is laying some SERIOUS pipe. RT @joerogan Either I just felt an earthquake in Vegas or someone in this hotel is laying some SERIOUS pipe Just felt it at my house, too."
61,"JUST IN: We believe we just felt an earthquake in our Dallas newsroom. We felt it In Uptown. soooooo when will the news report what we all know, which is it's due to fracking? we felt it! We felt it too!"
62,"Omg, i just felt myself swaying a bit and got a msg that theres been an earthquake in Delhi!! not only Delhi i think. Hoping all fine! Everything will be fine Angel...In Bangladesh also been an earthquake.. yes..I am frm Delhi I felt it. The epicenter is Nepal this time again."
63,never felt one in texas!!! yO an earthquake just happened!!!! @SNCKPCK I'm glad you are okay!' you wanna know who's beautiful? WAIIT I DIDNT FEEL IT SO WHERE WAS IT EXACTLY? we always get them in Irving
64,"I knew exactly what it was as it rolled thru. Yeah, I felt it. I felt it in the SAC while working! yo man it was crazy son.. Like I was in the bathroom and like I just assumed my roommate was wrestling his baby momma again"
65,"Felt it here in Toledo too. Simultaneously terrified and fascinated by what it would do in St. Louis. Yeah, it can be frightening. The Californian in me is both jaded and excited there's any seismic activity I ve seen parts of major floods here ( 93 & 2011) and tornado aftermath, but earthquakes are a whole other thing."
66,I felt it too! No question it was!
67,"Stay safe and keep in touch. Let us know if you need help with anything. wow take care, let us know how you get on Great - fabulous to know. Scared + waiting for news."
68,"we had a small shake in johburg, hope you all are safe. yip felt it here in Delhi......went back to bed.... Pommie we just shaking bad in Delhi. I'm from kolkata and I felt it quite well. same here. Yes, felt it Big one though. Not good."
69,it was Guetta!! @kaskade murdered the stage... thats why you felt an earthquake. He's playing CoCo right now! where are u Zedd?? you just missed @madeon who just blessed the Sahara with his music Why u didn't join at Ultra Music Festival 2015 and Coachella ?
70,"Sometimes, it's just SOOOO easy you can't help but take the cheap ones, right?.. Did any one felt that? What can that fat ass do...besides close bridges?"
71,"didn't feel a thing in Santa Monica. Didn't feel a thing in Simi - not that far away. But, i don't have wine. You're in California ... you have lots of earthquakes. I felt it in #hollywood. Going to find flashlights and shoes just in case... Hope all is well."
72,You're not trippen!! Or am I trippen?! I'm pretty sure i just felt an earthquake in vegas.
73," @KWCH12NDBrian & we just felt an earthquake in downtown Wichita. felt in derby... That was sick.. Never felt one before! we felt it, moved my husbands chair, I thought it was my #imagination #BREAKING And we just felt an earthquake in downtown #Wichita. Aww...makes me miss home. That was a big one."
74,"subtle out here in but totally felt it while I was reading. @VancouverSun: Think we just felt an earthquake here in the @VancouverSun . Think we just felt an earthquake here in the @VancouverSun newsroom. It was like a back and forth swaying. yes, blinds were shaking, all glasses on the shelf making noise. Definitely felt it in Yaletown. I should do that one day soon. No getting into my scrapbook room though."
75,I felt one earlier and I'm in walmart where stuff it gonna fall on me I read there have already been 189 aftershocks! really?
76,"omg I'm in Houston never felt one I would freak the f out! 5.4 at La Habra, Ca., so yeah you did feel one. don't you just love California it has it all. it's California bro!! and during a Dodger game..announcer says small tremor, and then continues calling game like it's no big deal it's crazy huh! me too!"
77,Felt it in Venice! Felt it strong here in Long Beach! we definetly felt it here in Long Beach. It was big! Did we just have an earthquake? it was less then a mile and a half from my house in la habra. that's the third one La Habra has had in the past hour!
78,"RT @ChristiRPearson: @weatherchannel just felt an earthquake at my house in Summerville, South Carolina FYI: Spring Equinox is tomorrow RT @ChristiRPearson: @weatherchannel just felt an earthquake at my house in Summerville, South Carolina A 2.5 quake in CA is about the same as a semi rolling down the road."
79,"It's 6:30am so was sleeping & felt like someone was shaking my bed!! how big was it?we felt nothing here in Monterey did earth move for you as it did for me ;) that was a big or little earthquake? Just got an #earthquake here in Californina! as long as u r ok , but I'm blaming ur neighbor for given the state of California a stunner !"
80,"Whoa...just felt like an earthquake here in Lake Carolina! felt it big time here near Swansea! Yep I did too in NE Cola! was felt up in Charlotte, also! felt it big time in Irmo!!!!"
81,"Hope all is well over there now! Up early in #Cali.. And I just felt an #earthquake..!! But I bet you looked #Fabulous before, during & after the quake. that's was just #knocarachi walkn threw town! I'm trying to look at the news here New York but they're not telling me anything yet. what are you currently working on?"
82,I just came on to check twitter to see what happened. Quick jolt at my place. Lost my home 20 years ago to the Northridge quake. can't believe it. PTSD.
83,"or maybe that was just YO MAMA! thought I saw u, not sure tho so I didn't say anything. No I thought I was better than that too...I'll stop talking now ITS WAS FUCKING CRAZY <- thought it was just me son its okay Puerto Rico can't stand its own awesomeness, so that happens from time to time. Hope the people are okay, the same for you. You'll get used to it..."
84,"There was one off the coast of Cuba...it was a 5.0 that maybe what you felt. I'm Scottish, Key West is one of my favourite places! Having lived in earthquake zones I'm a geek who keeps the live USGS map on my favourites. Something going on out there? Hope everyone is OK."
85,"It was just a small jolt though. 6 floors up at the Water Garden in SM and we felt that one! Did you just feel an #Earthquake here in LA? Sharp jolt, like a truck had hit the building. Just felt a sharp, quick jolt. I always miss out on all the fun in Burbank"
86,Didn't feel it in Sapulpa. this Saturday on SyFy! I felt it too in Jenks and FB'd about it rt Street it happened are'n't we do for a Snowquakenado? I may have been in the shower! I didn't!!
87,It will let you know location and strength. Red Cross Earthquake App will let you know location & strength. It may be everyone shivering in the stadium! It could be that also! What a way to have a rockin' game! felt it in Bethany Download the Red Cross Earthquake App.
88,"It was lil big I think even I'm Japanese but don't worry that level is often n no damaged building,train,anything! are you guys alright?! isn't it the weirdest/scariest feeling tho ah I'm glad you are fine Are you ok? Are you ok? I hope you re doing well."
89,Awesome??? ? Just felt an earthquake in #TAIPEI...
90,We just felt an earthquake in Berkeley But http://usgs.gov --the most reliable source--is closed due to the government shutdown. Wow. 3.1 quake @RadioRodriguez follow @QuakeReports for reports
91,"hah, thought I felt a little bump half an hour ago but I'm down in the South Bay. Felt it next door in Albany. Just felt an earthquake here in Berkeley."
92,"I felt it also here in Manila yeah, still here at the office in BGC. I think I just felt an earthquake in Fort BGC... felt that too...was a quick second or two yes there was an earthquake"
93,Hope you are all safe ! I am in China too and I did feel that too! be safe and be careful Love u guys! are you all okay? take care guys! glad you boys are safe and sound
94,"no I didn't feel it. Just felt an earthquake here in Norman, OK! Hope everyone's ok. maybe a result of fracking? I was wondering what that was. Seems like tornadoes aren't the only phenomena moving East."
95,I am still waiting to hear news from my family in DR. Are there reports of infrastructure damage in El Cibao? I'm in the northern part of the island and it was so strong. Be safe. Be safe Maria Elena.
96,"Just felt an #earthquake in #losangeles #la #ca Kite surfing in the streets! Cool, we are a day away from flooding and winds."
97,some old guy in my class said it was the airport :P i didnt believe him for a second! I felt that as well. there was an earthquake in North Texas a few weeks ago. it was so bizarre. didn't think it was real!
98,"http://upload.wikimedia.org/wikipedia/commons/d/db/Quake_epicenters_1963-98.png   According to this chart, the earthquakes seem to avoid Canada. isn't Maine, like, basically Canada though? I MOVED AWAY FROM SF SO I WOULDN'T HAVE TO DEAL WITH THIS. good point."
99,"felt it to in Boston Haggs. Felt it in W Roxbury. I just went back to see who tweeted first on the quake. freight train just went by my house or that was an earthquake I swear to god we just felt an earthquake in Burlington. hopefully it's the new CBA being written! Haggs, signs of the apocolypse: earthquake in New England, and NHL/Players Association making strides"
100,the earthquake was nothing compared with the things that we'll feel today in chile!!! H2O GO!!. Welcome to Chile hahah... RT @tobymorse Just felt an Earthquake here in Chile #Wild oh my. Hope all is good. Today will be a good show.
101,"just rattled my windows in n Dallas. Awesome just felt an earthquake in Southlake, Tx. Real quick one."
102,"Small one, but an earthquake nonetheless. Think I just felt an earthquake over here in Cali...who knows it's the 2nd one we've had in a week. Yep. That was an earthquake."
103,"Surprised it felt so strong being a 4.4 and that far away. Felt it here in Burbank. No location yet, but in the 4.0 range according to TV. Felt it over here on the hillside (Orange Grove). Didn't feel a thing."
104,"oopps mybe it's part of the training, ask to the tutor! I missed the 1989 earthquake in San Francisco because I was at  @SpaceCampUSA Nobody but us was particularly impressed."
105,Not a long one where we are located in LA. Just felt an earthquake jolt here in Southern California.
106,Just felt an earthquake in Zamalek. Apartment shook.
107,"Wow stay safe bro, I have been in a few in CA and it is not fun when you are in the middle of the airport Marriott ... getting out or moving to a lower floor with quick egress is best since aftershocks keep coming for a bit Wishing you, and Guatemala, well. First time and honestly I'm a bit freaked out.... Lived in New Madrid, MO on the big fault 6 yrs, activity constantly. I was relieved, however, that one if the active volcanoes wasn't erupting. I'm never at ease w/quakes. - everyonow knows they mean the earthquake or  temblor . Would be shaken out of bed, books fell off shelves, etc."
108,Yikes....that had to be a little unnerving for sure. Wow was it really that powerful? I can t go back to sleep after that weird rocking. Hope all is well Can t imagine experiencing a big one.
109,Feeling an #earthquake right now in #SanDiego Desert Hot Springs felt like 4.5 Huntington Beach too.
110,"Feeling the tremors in #Doon now, people are reporting them from Delhi to Bangladesh. Is it an #earthquake or just a shrug? Earthquake reported in UP, Bihar and West Bengal as well."
111,felt like it just got rocked! felt like it just got rocked! felt like it just got rocked! @MyDesert felt like it just got rocked! I'm in the Inland Empire and we felt it too! Anyone feeling #earthquake in Palm Springs?
112,"I felt it, i m at Snead State, in Boaz Al. Report of people feeling it in Henagar & Section, AL. Felt it at my apartment on Airport Road as well Felt it in Huntsville, AL, near the old Grissom HS. Felt it in Albertville"
113,Did I just feel an earthquake in Brooklyn or am I losing my mind (a distinct possibility) Felt it too... whole bed was shaking
114,"I m not getting used to the fact that the earth is moving together with a deep roar. But at the other hand I feel excited too. Good night, 1 hour ago my house was shaking with me in my bed. The heaviest one I felt since I returned to Japan."
115,"In LA we call it Wednesday. I just did here in Fayetteville. Yup, felt it here in Snellville Anybody else just feel an earthquake in Atlanta? Never though Atlanta got those. I ll keep it down. We are living in the last days!"
116,I just felt this too! Was that an earthquake in the #Crawley and #Gatwick area that just woke me up and scared the shit out of me? Glad it wasn't just me....    (Reigate) Scared the hell out of me! 100% felt it!
117,Atl Ga had one too! Sweetwater here and YES! Anyone else feel what I'm assuming was an #Earthquake near me?? I felt small shaking in Cleveland! Tossed me out of bed and shook things off the walls.
118,"I thought it was the end! Driven into a F0 sized tornado...Survived Hurricanes: Irma, Wilma, Katrina, and the big one Andrew ! I remember it, Carol. The 2 oldest did upstairs but I was testing our new to us unjumped on sofa & didn't feel it. I was watching Thor Dark World on Beeb 1 - literally thought it was a special effect, checked time thought I'd better turn telly down a bit #dolbysurroundsound I didn t even feel this one! A bookcase fell on me at work!"
119,Snow in Vegas ? Snow in LA ? An earthquake in Japan and now another earthquake in Ecuador all in one week ... WAKE THE TF UP PEOPLE !!!
120,Anybody else in the southside area or Atlanta period heard that shit.....was that an earthquake? I felt it. I'm on da Souf... Idk what that was!?! I thought somebody in my house fell down the stairs and hit the hard wood at the end
121,was it in ur area are you ok? i hope you're okay stay safe please i know some of you dont care but there was an earthquake in mexico again and this scares the shit out of me bc there has been a lot of earthquakes here lately
122,Daaaaamn apparently we had one too but we can never feel them lmao Wait there was an earthquake in LA an hour ago? I didnt feel shit LOL
123,Glad to know you're OK! Omg I had no idea you were there! I m ok but holy shit that was so scary!!! So happy you re safe and sound! So glad to hear you are ok. !I thought the building next to me was going to crash to the ground ( it didn t)
124,"it was a small one but wow hope everyone s safe, they can get scary oh shit there was an earthquake in southern ca"
125,"Stay safe, keep an eye on Agung! Wasn't there a 6.4 just a few days ago? Oh no. Glad you re ok. Stay safe & watch those aftershocks"
126,Thank youuuu so much!!!! I wish I could see you again! Come back soon please! Awesome awesome show!!!
127,"Hope you're alright and there wasn't much damage! Holy fuck,I just jumped out of my bed Holly shit there was an earthquake so strong that I saw the appartment moving and one of my trophies fell from the shelf Was never so scared in my own house Sometimes it sounds like an earthquake on your stream!"
128,glad you're okay. Wishing you guys a swift recovery! Glad you re ok i thought they lifted the tsunami warning im really shocked..
129,"Glad to hear you're safe! Where are you at? Shit, got hit by an 8.2 earthquake and we're watching netflix thinking someone is breaking in our house. Keep us in your prayers, a Tsunami is comin"
130,"Excited to get back to WORK. Awake with a quake, and into the blizzard. There s a lot of dope shit that needs to be done. Just try and stop me."
131,I didn't feel it and most of the time they happen before you even realize it or your asleep everyone in cali is tweeting about an earthquake and it makes me wanna not move there tf that shit scary I heard it happens all the time
132,"and then two gosh darn earthquakes WTF 3rd visit to the ER in New Zealand bc of an infected kidney, there were 2 earthquakes in the hospital then my dad called me a shit magnet"
133,"Hello, are you available to speak to BBC World News LIVE in half an hour regarding the earthquake? Hi I work for ITV News would you mind if I contacted you to speak about this? Scary shit we just had an Earthquake in Kos Greece Getting out of Apartment say it was 6. something!"
134,please be safe!!!!! I know right !! it's so terrible !! ! ! Yaa ! Omg! I wish my bed would shake like that sometimes!
135,"Totally, I'd take quakes over a tornado any day. Now if that shit was a tornado we be all dead If it drizzled a bit people would be fleeing to the hills. I survived a year in tornado country I'll be chill"
136,Shiiiit I hope you're good now! hope you're all okayyyy me too I was scared omg hope you're okay!
137,"Scared the shit out of me! Lol, hope you're okay Drif0r! Hope you're both safe if it was small one its so common in japan... where i used to live (which is Shizuoka) used to have like 3-4 earthquakes in a month  that's crazy!!! Now you know why they have butt washing toilets in Japan"
138,"omg, i hope it too last earthquake I was in was when i was 5... it's some scary shit when it lived in Cali there was an earthquake but I didn't know it was an earthquake but I was scared as shit there was an earthquake in Cali...?"
139,"I came and hid by Marcus like he was gonna stop the earth from shaking. On my third anniversary of living in LA, I just felt my third earthquake Still sitting here like"
140,"oh yes it was another little quake: details online (link: http://www.earthquakes.bgs.ac.uk/earthquakes/recent_events/20140428220405.html#page=summary) 
earthquakes.bgs.ac.uk/earthquakes/re another #earthquake in #Oakham loud felt the windows shake about 10 mins ago!!? third #earthquake felt in #Oakham my house windows shook for a few seconds and loud #bang Any updates please? didn't feel that one over here this time!"
141,Stay as safe as you can over there fam I ve been thru a hurricane now in PR and now an earthquake. Nahhhh man.
142,"OH MY GODD GUYS, i just woke up. i was still in my bed when LITERALLY an earthquake just happened here in puerto rico. i even heard a roar."
143,Earthquake in Alberta eh? Alberta tryna break away from the rest of Canada and the north American continent
144,And it was only level 4 magnitude!! Are you in Gifu..? Just felt my first earthquake.
145,"ya, we had one here a couple of years ago and it's the weirdest feeling.. Not going to lie, being in an apartment building during one is a bit scary"
146,"See, it was a good thing you were awake early this morning! I feel the same when you living detroit to Orlando ....scary!!! took me a second to figure out what it was... Wow.... realgranthill33
 That wasn't bad at all. The Northridge Quake was 6.7 and broke the 10 Freeway! scary place to have a earthquake. I don't think this one did any damage."
147,"Pey i hope you're well ! Justin Please stfu are u fine babe i,hope you are fine because i want you Are you scared?? right?? It didn't wake me up babe can you plzz follow me im following you on instagram,Facebook,Twitter,and YouTube OMG are you ok there"
148,"Frightening as fuck I experienced 4 very light ones in my life and every time it scared the shit out of me I still remember my first- and only, thankfully I've been through one, 8.8,  a nightmare Felt my first earthquake in San Diego last night"
149,"there was a earthquake wait whAT?????????????? Ha when you live in calfornia all your life like me. I didn't feel it. You will more than pee yourself then. ? Well they say, the big one is coming there one day."
150,"did it happen on set of Good Mythical Morning? I just watched you guys last night on GMM saying you've never felt one yet! haha 3 years ago we had a 7.2 where i live.. Did You Feel the M4.7 #Westwood, CA quake that just occurred? Please let us know what you felt here: (link: http://on.doi.gov/1lHZGzy) on.doi.gov/1lHZGzy Hope you and your family are okay!"
151,"have to say a scary one! sry sir...it was indeed more than i thought. when y spell it freaky...it cld nt be so heavy...we hv such small ones here in germany as well. LEADERS are ""Illiterate""Epicentre &lot what ? You never experienced before ? area is called ""Vulkaneifel"" That must have been a terrible experience."
152,it woke me up too I was shook! I knew I felt something !! omfg I JUST FELT my first earthquake in LA!!! Only this king got me shook Yo what is it like I don t know if I m mad or happy NY don t get any earth quakes
153,"Wait till you get to Oklahoma, we have them all the time too, not quite that strong but you can feel them! I'm glad it wasn't serious! That's what u and the boys do...SHAKE MY SOUL! was in a 7.6 once, I'll take hurricanes any day! we felt it in Disneyland. In hotel room in Santa Anna and I just felt my first earthquake."
154,Yeah that would be my first earthquake I ve really felt in CA and been like wtf is this? it was a 6.1 quake that came from Vallejo or something. try living in Maryland and being woken up by an earthquake lol not scary just damn confusing I would say go back to sleep but that probably not going to happen now is it? I live in southern California and I've felt many earthquakes before.
155,"We are praying for you all! Oh wow, that sounds scary! First earthquake back when i was in highschool.. i was on sitting on the floor and felt like I was lying flat take care!!! I guess I'm officially from California now. Take care! be safe leroy! I just felt the first earthquake ever in my life and it was so scary..."
156,"I just felt my first earthquake while living in LA...CRAZYYYY!!! it was my first earthquake in LA too!! Lived here all my life, only scary when they are the big ones! I live in Turin, Italy, so to feel earthquakes is not so usual, but I did last year and I freaked out ! that's your fault... living in LA... hate myself for the pun. that's crazy!!! aw we have a fault near here but I have never felt one"
157,didn't even wake my dog up just felt my first earthquake in the almost 4 years i've lived in sf
